part_number,part_type,description,rated_voltage_v,min_temp_c,max_temp_c,lifecycle
X150-G002-F2B3,sensor_interface_g002-f2b3,High-voltage sensor interface G002-F2B3,48,-20,80,active
X160-G002-F2B3,sensor_interface_g002-f2b3,Legacy sealed sensor interface G002-F2B3,24,-20,75,discontinued
X170-G002-F2B3,sensor_interface_g002-f2b3,Logic-level sensor interface G002-F2B3,5,-10,50,active
X180-G002-F2B3,sensor_interface_g002-f2b3,Standard sensor interface G002-F2B3,24,-20,80,active
R200-G002-F2B3,power_relay_g002-f2b3,Standard power relay G002-F2B3,24,-20,70,active
R210-G002-F2B3,power_relay_g002-f2b3,Vibration-rated power relay G002-F2B3,24,-40,85,active
C300-G002-F2B3,connector_g002-f2b3,Five-volt keyed connector G002-F2B3,5,-20,70,active
X100-G003-4768,sensor_interface_g003-4768,Field sensor interface G003-4768,24,-20,80,active
X110-G003-4768,sensor_interface_g003-4768,Coated sensor interface G003-4768,24,-30,85,active
X120-G003-4768,sensor_interface_g003-4768,Low-voltage sensor interface G003-4768,12,-20,70,active
X130-G003-4768,sensor_interface_g003-4768,Indoor sensor interface G003-4768,24,0,60,active
X140-G003-4768,sensor_interface_g003-4768,Extended-temperature interface G003-4768,24,-40,105,active
X150-G003-4768,sensor_interface_g003-4768,High-voltage sensor interface G003-4768,48,-20,80,active
X160-G003-4768,sensor_interface_g003-4768,Legacy sealed sensor interface G003-4768,24,-20,75,discontinued
X170-G003-4768,sensor_interface_g003-4768,Logic-level sensor interface G003-4768,5,-10,50,active
X180-G003-4768,sensor_interface_g003-4768,Standard sensor interface G003-4768,24,-20,80,active
R200-G003-4768,power_relay_g003-4768,Standard power relay G003-4768,24,-20,70,active
R210-G003-4768,power_relay_g003-4768,Vibration-rated power relay G003-4768,24,-40,85,active
C300-G003-4768,connector_g003-4768,Five-volt keyed connector G003-4768,5,-20,70,active
X100-G004-8D30,sensor_interface_g004-8d30,Field sensor interface G004-8D30,24,-20,80,active
X110-G004-8D30,sensor_interface_g004-8d30,Coated sensor interface G004-8D30,24,-30,85,active
X120-G004-8D30,sensor_interface_g004-8d30,Low-voltage sensor interface G004-8D30,12,-20,70,active
X130-G004-8D30,sensor_interface_g004-8d30,Indoor sensor interface G004-8D30,24,0,60,active
X140-G004-8D30,sensor_interface_g004-8d30,Extended-temperature interface G004-8D30,24,-40,105,active
X150-G004-8D30,sensor_interface_g004-8d30,High-voltage sensor interface G004-8D30,48,-20,80,active
X160-G004-8D30,sensor_interface_g004-8d30,Legacy sealed sensor interface G004-8D30,24,-20,75,discontinued
X170-G004-8D30,sensor_interface_g004-8d30,Logic-level sensor interface G004-8D30,5,-10,50,active
X180-G004-8D30,sensor_interface_g004-8d30,Standard sensor interface G004-8D30,24,-20,80,active
R200-G004-8D30,power_relay_g004-8d30,Standard power relay G004-8D30,24,-20,70,active
R210-G004-8D30,power_relay_g004-8d30,Vibration-rated power relay G004-8D30,24,-40,85,active
C300-G004-8D30,connector_g004-8d30,Five-volt keyed connector G004-8D30,5,-20,70,active
X100-G005-0E54,sensor_interface_g005-0e54,Field sensor interface G005-0E54,24,-20,80,active
X110-G005-0E54,sensor_interface_g005-0e54,Coated sensor interface G005-0E54,24,-30,85,active
X120-G005-0E54,sensor_interface_g005-0e54,Low-voltage sensor interface G005-0E54,12,-20,70,active
X130-G005-0E54,sensor_interface_g005-0e54,Indoor sensor interface G005-0E54,24,0,60,active
X140-G005-0E54,sensor_interface_g005-0e54,Extended-temperature interface G005-0E54,24,-40,105,active
X150-G005-0E54,sensor_interface_g005-0e54,High-voltage sensor interface G005-0E54,48,-20,80,active
X160-G005-0E54,sensor_interface_g005-0e54,Legacy sealed sensor interface G005-0E54,24,-20,75,discontinued
X170-G005-0E54,sensor_interface_g005-0e54,Logic-level sensor interface G005-0E54,5,-10,50,active
X180-G005-0E54,sensor_interface_g005-0e54,Standard sensor interface G005-0E54,24,-20,80,active
R200-G005-0E54,power_relay_g005-0e54,Standard power relay G005-0E54,24,-20,70,active
R210-G005-0E54,power_relay_g005-0e54,Vibration-rated power relay G005-0E54,24,-40,85,active
C300-G005-0E54,connector_g005-0e54,Five-volt keyed connector G005-0E54,5,-20,70,active
X100-G006-401D,sensor_interface_g006-401d,Field sensor interface G006-401D,24,-20,80,active
X110-G006-401D,sensor_interface_g006-401d,Coated sensor interface G006-401D,24,-30,85,active
X120-G006-401D,sensor_interface_g006-401d,Low-voltage sensor interface G006-401D,12,-20,70,active
X130-G006-401D,sensor_interface_g006-401d,Indoor sensor interface G006-401D,24,0,60,active
X140-G006-401D,sensor_interface_g006-401d,Extended-temperature interface G006-401D,24,-40,105,active
X150-G006-401D,sensor_interface_g006-401d,High-voltage sensor interface G006-401D,48,-20,80,active
X160-G006-401D,sensor_interface_g006-401d,Legacy sealed sensor interface G006-401D,24,-20,75,discontinued
X170-G006-401D,sensor_interface_g006-401d,Logic-level sensor interface G006-401D,5,-10,50,active
X180-G006-401D,sensor_interface_g006-401d,Standard sensor interface G006-401D,24,-20,80,active
R200-G006-401D,power_relay_g006-401d,Standard power relay G006-401D,24,-20,70,active
R210-G006-401D,power_relay_g006-401d,Vibration-rated power relay G006-401D,24,-40,85,active
C300-G006-401D,connector_g006-401d,Five-volt keyed connector G006-401D,5,-20,70,active
X100-G007-318A,sensor_interface_g007-318a,Field sensor interface G007-318A,24,-20,80,active
X110-G007-318A,sensor_interface_g007-318a,Coated sensor interface G007-318A,24,-30,85,active
X120-G007-318A,sensor_interface_g007-318a,Low-voltage sensor interface G007-318A,12,-20,70,active
X130-G007-318A,sensor_interface_g007-318a,Indoor sensor interface G007-318A,24,0,60,active
X140-G007-318A,sensor_interface_g007-318a,Extended-temperature interface G007-318A,24,-40,105,active
X150-G007-318A,sensor_interface_g007-318a,High-voltage sensor interface G007-318A,48,-20,80,active
X160-G007-318A,sensor_interface_g007-318a,Legacy sealed sensor interface G007-318A,24,-20,75,discontinued
X170-G007-318A,sensor_interface_g007-318a,Logic-level sensor interface G007-318A,5,-10,50,active
X180-G007-318A,sensor_interface_g007-318a,Standard sensor interface G007-318A,24,-20,80,active
R200-G007-318A,power_relay_g007-318a,Standard power relay G007-318A,24,-20,70,active
R210-G007-318A,power_relay_g007-318a,Vibration-rated power relay G007-318A,24,-40,85,active
C300-G007-318A,connector_g007-318a,Five-volt keyed connector G007-318A,5,-20,70,active
X100-G008-8069,sensor_interface_g008-8069,Field sensor interface G008-8069,24,-20,80,active
X110-G008-8069,sensor_interface_g008-8069,Coated sensor interface G008-8069,24,-30,85,active
X120-G008-8069,sensor_interface_g008-8069,Low-voltage sensor interface G008-8069,12,-20,70,active
X130-G008-8069,sensor_interface_g008-8069,Indoor sensor interface G008-8069,24,0,60,active
X140-G008-8069,sensor_interface_g008-8069,Extended-temperature interface G008-8069,24,-40,105,active
X150-G008-8069,sensor_interface_g008-8069,High-voltage sensor interface G008-8069,48,-20,80,active
X160-G008-8069,sensor_interface_g008-8069,Legacy sealed sensor interface G008-8069,24,-20,75,discontinued
X170-G008-8069,sensor_interface_g008-8069,Logic-level sensor interface G008-8069,5,-10,50,active
X180-G008-8069,sensor_interface_g008-8069,Standard sensor interface G008-8069,24,-20,80,active
R200-G008-8069,power_relay_g008-8069,Standard power relay G008-8069,24,-20,70,active
R210-G008-8069,power_relay_g008-8069,Vibration-rated power relay G008-8069,24,-40,85,active
C300-G008-8069,connector_g008-8069,Five-volt keyed connector G008-8069,5,-20,70,active
X100-G009-8C48,sensor_interface_g009-8c48,Field sensor interface G009-8C48,24,-20,80,active
X110-G009-8C48,sensor_interface_g009-8c48,Coated sensor interface G009-8C48,24,-30,85,active
X120-G009-8C48,sensor_interface_g009-8c48,Low-voltage sensor interface G009-8C48,12,-20,70,active
X130-G009-8C48,sensor_interface_g009-8c48,Indoor sensor interface G009-8C48,24,0,60,active
X140-G009-8C48,sensor_interface_g009-8c48,Extended-temperature interface G009-8C48,24,-40,105,active
X150-G009-8C48,sensor_interface_g009-8c48,High-voltage sensor interface G009-8C48,48,-20,80,active
X160-G009-8C48,sensor_interface_g009-8c48,Legacy sealed sensor interface G009-8C48,24,-20,75,discontinued
X170-G009-8C48,sensor_interface_g009-8c48,Logic-level sensor interface G009-8C48,5,-10,50,active
X180-G009-8C48,sensor_interface_g009-8c48,Standard sensor interface G009-8C48,24,-20,80,active
R200-G009-8C48,power_relay_g009-8c48,Standard power relay G009-8C48,24,-20,70,active
R210-G009-8C48,power_relay_g009-8c48,Vibration-rated power relay G009-8C48,24,-40,85,active
C300-G009-8C48,connector_g009-8c48,Five-volt keyed connector G009-8C48,5,-20,70,active
X161,sensor_interface,Alternate sealed sensor interface,24,-20,75,active
X162,sensor_interface,Alternate coated sensor interface,24,-20,70,active
X165,sensor_interface,Extended-range sealed sensor interface,24,-30,85,active
X169,sensor_interface,Compact sealed sensor interface,24,-10,60,active
R201,power_relay,Alternate standard power relay,24,-20,70,active
R202,power_relay,Alternate vibration power relay,24,-30,80,active
R205,power_relay,Compact vibration power relay,24,-40,85,active
R209,power_relay,Sealed vibration power relay,24,-10,75,active
