application_key,facility,parameter,monitoring_period,change,fields_changed,before_comparison,after_comparison,before_monitoring,after_monitoring,before_evidence,after_evidence,before_unresolved,after_unresolved,semantic_relation,grounding_pointer,before_state,after_state
measurement:dmr_form_value_id=3920700852,NM0028762,00400,2024-11-30,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700853,NM0028762,00530,2024-11-30,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700854,NM0028762,00530,2024-11-30,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700855,NM0028762,00530,2024-11-30,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700856,NM0028762,00530,2024-11-30,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700857,NM0028762,50050,2024-11-30,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700858,NM0028762,50050,2024-11-30,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700859,NM0028762,50060,2024-11-30,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700862,NM0028762,00400,2024-12-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700863,NM0028762,00400,2024-12-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700864,NM0028762,00530,2024-12-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700865,NM0028762,00530,2024-12-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700866,NM0028762,00530,2024-12-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700867,NM0028762,00530,2024-12-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700868,NM0028762,50050,2024-12-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700869,NM0028762,50050,2024-12-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700870,NM0028762,50060,2024-12-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700873,NM0028762,00400,2025-01-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700874,NM0028762,00400,2025-01-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700875,NM0028762,00530,2025-01-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700876,NM0028762,00530,2025-01-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700877,NM0028762,00530,2025-01-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700878,NM0028762,00530,2025-01-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700879,NM0028762,50050,2025-01-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700880,NM0028762,50050,2025-01-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700881,NM0028762,50060,2025-01-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700884,NM0028762,00400,2025-02-28,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700885,NM0028762,00400,2025-02-28,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700886,NM0028762,00530,2025-02-28,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700887,NM0028762,00530,2025-02-28,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700888,NM0028762,00530,2025-02-28,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700889,NM0028762,00530,2025-02-28,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700890,NM0028762,50050,2025-02-28,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700891,NM0028762,50050,2025-02-28,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700892,NM0028762,50060,2025-02-28,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700895,NM0028762,00400,2025-03-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700896,NM0028762,00400,2025-03-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700897,NM0028762,00530,2025-03-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
